age,sex_enc,priors_count,juv_fel_count,juv_misd_count,juv_other_count,days_b_screening_arrest,c_days_from_compas,jail_duration,decile_score,v_decile_score,charge_degree,convicted_proxy,two_year_recid
69,1,0,0,0,0,-1.0,1.0,0.0,1,1,1,1,0
34,1,0,0,0,0,-1.0,1.0,10.0,3,1,1,1,1
24,1,4,0,0,1,-1.0,1.0,1.0,4,3,1,1,1
44,1,0,0,0,0,0.0,0.0,1.0,1,1,0,1,0
41,1,14,0,0,0,-1.0,1.0,6.0,6,2,1,1,1
43,1,3,0,0,0,-1.0,1.0,0.0,4,3,1,0,0
39,0,0,0,0,0,-1.0,1.0,2.0,1,1,0,1,0
21,1,1,0,0,0,428.0,308.0,0.0,3,5,1,1,1
27,1,0,0,0,0,-1.0,1.0,1.0,4,4,1,1,0
23,1,3,0,0,0,0.0,0.0,4.0,6,4,0,1,1
37,0,0,0,0,0,0.0,0.0,0.0,1,1,0,1,0
41,1,0,0,0,0,-1.0,1.0,0.0,4,2,1,1,0
47,0,1,0,0,0,-20.0,490.0,14.0,1,1,1,0,1
31,1,7,0,0,0,22.0,71.0,3.0,3,2,1,1,1
37,1,0,0,0,0,0.0,0.0,0.0,1,1,0,1,0
25,1,3,0,0,0,-1.0,1.0,1.0,10,9,1,1,0
31,1,6,0,0,0,-1.0,1.0,1.0,5,4,1,1,1
31,1,5,0,0,0,-1.0,1.0,1.0,3,2,1,1,1
64,1,13,0,0,0,-1.0,1.0,1.0,6,3,1,0,1
21,1,1,0,0,0,-1.0,1.0,3.0,9,9,1,1,1
27,1,0,0,0,0,0.0,0.0,0.0,2,3,0,1,1
21,0,0,0,0,0,-2.0,2.0,1.0,4,5,1,1,0
24,1,1,0,0,0,0.0,1.0,0.0,4,5,1,1,1
43,1,1,0,0,0,-1.0,1.0,1.0,1,2,0,1,0
32,1,0,0,0,0,-1.0,1.0,1.0,3,4,0,1,0
27,1,8,0,0,0,-1.0,1.0,17.0,3,3,1,1,1
36,0,3,0,0,0,53.0,95.0,0.0,3,1,1,0,0
26,1,5,0,0,1,-1.0,1.0,0.0,7,7,1,1,1
33,1,0,0,0,0,0.0,1.0,37.0,10,6,1,1,1
30,1,9,0,0,0,0.0,0.0,44.0,9,10,1,1,1
32,1,4,0,0,0,-1.0,1.0,1.0,8,3,1,1,1
55,1,0,0,0,0,-1.0,1.0,2.0,1,1,1,0,0
49,1,7,0,0,0,-1.0,0.0,3.0,3,2,1,1,1
26,1,6,0,0,2,81.0,382.0,12.0,8,8,0,1,0
33,0,4,0,0,0,-1.0,1.0,11.0,5,2,0,1,1
24,1,1,0,0,0,0.0,0.0,1.0,2,3,0,1,1
34,1,21,2,1,3,0.0,0.0,33.0,9,6,1,1,1
29,1,0,0,0,0,0.0,1.0,-1.0,2,2,0,1,0
21,0,2,0,0,0,-1.0,1.0,79.0,8,8,1,0,0
51,1,2,0,0,0,-1.0,1.0,1.0,1,1,0,1,0
29,1,2,0,0,0,-1.0,1.0,0.0,2,2,0,1,1
51,0,7,0,0,0,-1.0,1.0,1.0,2,2,1,1,0
29,1,0,0,0,0,0.0,0.0,0.0,7,2,1,1,1
25,1,9,0,0,0,-1.0,1.0,6.0,10,9,0,1,1
35,1,13,1,0,4,-1.0,1.0,0.0,8,3,1,1,1
49,1,0,0,0,0,0.0,0.0,0.0,1,1,0,1,0
34,1,4,0,0,0,-59.0,59.0,51.0,3,2,0,1,1
29,1,0,0,0,0,0.0,1.0,0.0,4,3,1,1,0
29,1,1,0,0,0,-24.0,24.0,0.0,2,2,1,1,1
28,0,0,0,0,0,-1.0,1.0,0.0,2,2,1,1,0
48,1,20,0,0,0,302.0,562.0,10.0,6,4,1,0,1
63,0,1,0,0,0,-219.0,219.0,8.0,1,1,1,0,0
31,1,15,0,0,1,-1.0,1.0,135.0,5,7,1,1,0
24,1,2,0,0,0,-1.0,1.0,1.0,4,4,1,1,1
30,1,0,0,0,0,0.0,0.0,23.0,7,3,0,1,0
49,1,4,0,0,0,-1.0,1.0,0.0,1,1,0,1,0
53,1,8,0,0,0,-13.0,13.0,13.0,5,2,1,0,0
35,1,5,0,0,0,-1.0,1.0,0.0,3,2,1,1,0
63,1,10,0,0,0,-38.0,906.0,35.0,7,5,0,1,1
27,1,15,1,1,2,-1.0,1.0,1.0,10,9,1,1,1
38,1,4,0,0,0,-1.0,1.0,1.0,2,2,0,1,1
22,1,1,0,0,1,-1.0,1.0,1.0,4,6,1,1,1
22,1,2,0,1,2,70.0,114.0,124.0,10,9,1,1,1
29,1,4,0,0,0,-1.0,1.0,18.0,9,5,1,0,1
62,1,0,0,0,0,0.0,1.0,-1.0,1,1,0,1,0
27,1,6,0,1,0,0.0,0.0,30.0,6,3,1,1,1
33,1,0,0,0,0,-1.0,1.0,1.0,1,1,0,1,0
56,0,0,0,0,0,0.0,1.0,3.0,1,1,0,1,0
45,1,6,0,0,0,-1.0,1.0,241.0,1,1,1,1,1
22,1,1,0,0,0,-1.0,1.0,1.0,4,6,1,1,0
39,1,1,0,0,0,-1.0,1.0,4.0,4,2,0,0,0
29,1,5,0,0,0,0.0,0.0,1.0,6,3,1,1,1
27,1,1,0,0,1,-1.0,1.0,14.0,6,3,1,0,1
40,1,2,0,0,0,-15.0,15.0,3.0,2,1,1,0,0
22,1,1,0,0,0,0.0,1.0,16.0,3,3,0,1,1
22,1,0,0,0,0,-1.0,1.0,57.0,8,6,1,1,0
26,0,1,0,0,0,-1.0,1.0,2.0,4,3,1,1,1
27,1,1,0,0,0,-43.0,44.0,19.0,7,8,1,1,1
32,1,0,0,0,0,-1.0,1.0,1.0,2,1,1,1,0
41,1,1,0,0,0,-1.0,5185.0,1.0,2,2,0,0,0
30,1,8,0,0,0,-1.0,1.0,1.0,10,9,0,1,1
50,1,0,0,0,0,-1.0,1.0,0.0,1,2,1,0,1
25,1,14,1,6,1,-1.0,1.0,7.0,10,10,1,0,1
20,1,0,0,0,0,-1.0,1.0,1.0,5,8,1,1,1
22,1,2,1,0,0,0.0,0.0,30.0,9,10,1,1,1
23,1,2,0,0,1,137.0,192.0,0.0,7,8,0,0,1
35,0,1,0,0,0,-1.0,1.0,0.0,2,1,0,0,0
36,1,9,0,0,0,0.0,1.0,3.0,7,6,1,1,1
26,1,7,0,0,0,0.0,1.0,0.0,8,4,1,1,1
21,1,1,0,0,0,0.0,1.0,3.0,6,6,1,1,1
25,1,9,0,0,0,-1.0,1.0,0.0,8,9,1,1,1
20,0,0,0,0,0,-1.0,1.0,0.0,7,8,1,1,0
39,1,2,0,0,0,-2.0,3.0,-1.0,1,1,1,1,1
66,1,3,0,0,0,-64.0,64.0,30.0,1,1,1,1,0
54,0,0,0,0,0,0.0,1.0,0.0,1,1,0,1,0
44,0,0,0,0,0,-2.0,2.0,1.0,1,1,0,1,0
19,1,1,0,0,0,-10.0,10.0,9.0,4,7,0,1,1
24,1,1,0,0,0,-137.0,137.0,137.0,2,3,1,0,0
30,1,1,0,0,0,-1.0,1.0,0.0,2,2,1,1,0
39,0,0,0,0,0,-1.0,1.0,1.0,1,1,1,1,1
24,1,8,0,1,2,-1.0,0.0,12.0,6,6,1,1,1
30,1,0,0,0,0,-1.0,1.0,5.0,4,2,1,1,0
31,1,0,0,0,0,-1.0,1.0,38.0,5,2,0,1,0
39,0,1,0,0,0,-1.0,1.0,106.0,4,3,1,1,0
59,1,14,0,0,0,178.0,265.0,109.0,9,4,1,0,1
43,1,1,0,0,0,-30.0,30.0,1.0,1,1,1,1,0
21,1,3,0,0,0,-1.0,1.0,6.0,9,6,1,1,1
38,1,5,0,0,0,-1.0,1.0,2.0,4,3,0,1,1
34,1,0,0,0,0,0.0,0.0,14.0,5,5,1,1,0
33,1,5,0,0,0,0.0,1.0,0.0,5,2,1,1,1
37,1,3,0,0,0,0.0,0.0,1.0,2,1,1,1,0
42,1,1,0,0,0,0.0,1.0,0.0,2,2,1,1,1
41,1,10,0,1,0,0.0,0.0,176.0,9,7,1,1,1
22,1,0,0,0,0,-1.0,1.0,0.0,4,7,1,1,1
33,1,28,0,12,2,-1.0,1.0,1.0,8,5,1,1,1
31,1,1,0,0,0,-1.0,1.0,1.0,7,8,0,1,0
30,0,1,0,0,0,-1.0,1.0,1.0,2,2,1,1,0
31,1,13,0,0,0,-1.0,0.0,471.0,10,7,1,0,1
27,1,3,0,0,0,-1.0,1.0,0.0,9,4,1,1,1
56,1,8,0,0,0,67.0,79.0,79.0,9,3,1,0,0
52,1,3,0,0,0,-2.0,2.0,0.0,9,6,0,1,0
33,1,19,0,0,0,-1.0,1.0,0.0,10,7,1,0,1
64,0,2,0,0,0,-47.0,48.0,-1.0,1,1,0,1,0
22,1,4,0,0,0,-36.0,36.0,14.0,6,8,1,1,1
42,1,6,0,0,0,-4.0,5.0,-1.0,3,1,1,1,0
25,0,2,0,0,0,-1.0,1.0,3.0,4,5,1,0,0
30,1,1,0,0,0,-20.0,20.0,3.0,2,2,0,1,0
37,0,2,0,0,0,-1.0,222.0,1.0,2,1,0,1,0
28,1,0,0,0,0,-1.0,1.0,0.0,2,3,0,1,1
24,0,0,0,0,0,-1.0,1.0,2.0,2,3,0,1,0
29,0,10,0,1,0,-1.0,1.0,7.0,4,2,1,1,1
44,1,2,0,0,0,0.0,1.0,-1.0,2,1,0,1,1
30,0,4,0,0,0,-35.0,36.0,0.0,5,5,1,1,1
32,1,3,0,0,0,-1.0,1.0,8.0,7,3,1,1,1
31,1,2,0,0,0,-16.0,16.0,15.0,3,3,0,1,1
31,1,1,0,0,0,-1.0,1.0,1.0,2,3,0,1,0
59,1,1,0,0,0,-1.0,1.0,0.0,2,1,1,1,1
20,0,1,1,0,0,0.0,0.0,2.0,10,10,1,0,0
43,0,0,0,0,0,0.0,0.0,0.0,1,1,0,1,0
38,1,9,1,1,0,-1.0,1.0,13.0,8,4,1,1,1
32,1,11,0,0,0,-2.0,2.0,1.0,6,5,1,1,1
33,1,8,0,0,0,-1.0,1.0,0.0,5,2,0,1,1
31,0,0,0,0,0,-1.0,1.0,1.0,3,2,1,1,1
33,0,7,0,0,0,-1.0,1.0,26.0,9,9,1,1,1
27,1,2,0,0,0,-1.0,1.0,1.0,9,8,1,1,1
20,0,0,0,0,0,0.0,1.0,0.0,6,8,1,1,0
26,0,0,0,0,0,-2.0,2.0,0.0,6,3,0,1,0
61,0,1,0,0,0,-1.0,1.0,0.0,1,1,1,1,1
52,1,13,0,0,0,-1.0,1.0,1.0,7,6,1,1,1
63,1,1,0,0,0,-26.0,26.0,14.0,1,1,1,0,0
32,0,4,0,0,0,-7.0,7.0,6.0,10,9,1,0,1
29,1,1,0,0,0,-1.0,1.0,0.0,4,4,1,1,0
26,0,2,0,0,0,-1.0,1.0,0.0,4,4,0,1,1
55,1,3,0,0,0,-51.0,52.0,1.0,1,1,0,1,0
39,1,1,1,0,0,-1.0,1672.0,3.0,4,4,0,1,0
30,0,3,0,0,0,0.0,1.0,530.0,7,4,1,1,1
30,1,1,0,0,0,0.0,1.0,70.0,7,8,1,1,0
48,1,2,0,0,0,-1.0,1.0,0.0,2,1,0,1,0
22,1,1,0,0,0,-1.0,1.0,0.0,2,4,1,0,0
46,1,6,0,0,0,22.0,31.0,22.0,1,1,1,1,1
49,0,6,0,0,0,-56.0,56.0,5.0,6,2,1,1,0
31,1,0,0,0,0,0.0,1.0,2.0,5,4,1,1,0
25,1,1,0,0,0,-1.0,1.0,1.0,2,3,0,1,1
23,1,0,0,0,0,-1.0,2.0,0.0,3,5,1,1,0
32,0,5,0,0,0,-1.0,1.0,1.0,7,3,1,1,0
52,1,2,0,0,0,-1.0,1.0,3.0,1,1,0,1,0
62,1,8,0,0,0,0.0,1.0,15.0,4,1,1,1,0
37,0,6,0,0,0,-110.0,111.0,105.0,10,4,1,1,0
55,1,1,0,0,0,-45.0,45.0,18.0,1,1,1,1,0
31,1,8,0,0,0,29.0,61.0,117.0,9,7,1,0,1
28,1,6,0,0,0,-1.0,1.0,0.0,6,6,0,1,1
54,1,2,0,0,0,-1.0,1.0,188.0,1,1,1,1,0
58,1,0,0,0,0,-1.0,1.0,0.0,2,1,1,1,0
78,1,1,0,0,0,-1.0,1.0,0.0,1,1,0,1,1
56,1,0,0,0,0,-1.0,1.0,1.0,1,1,1,1,0
24,1,0,0,0,0,-1.0,1.0,1.0,2,4,1,1,0
38,1,22,2,2,1,-34.0,35.0,33.0,8,5,1,1,1
22,1,1,0,0,0,0.0,1.0,0.0,5,5,1,1,1
47,1,23,0,0,0,-1.0,1.0,0.0,8,1,0,1,1
23,1,0,0,0,0,-1.0,1.0,1.0,2,4,0,1,1
57,1,1,0,0,0,0.0,0.0,19.0,1,1,1,1,0
38,0,2,0,0,0,-35.0,35.0,0.0,5,2,1,1,1
66,1,3,0,0,0,-10.0,10.0,2.0,1,1,1,1,0
45,1,8,0,0,0,0.0,0.0,71.0,4,3,0,1,1
32,1,13,0,0,0,289.0,1.0,97.0,10,7,1,1,1
37,1,2,0,0,0,0.0,0.0,0.0,9,8,0,1,1
39,1,0,0,0,0,0.0,0.0,0.0,4,4,1,1,1
26,1,9,0,0,0,0.0,1.0,79.0,9,8,1,1,1
45,1,2,0,0,0,-1.0,1.0,358.0,3,4,1,1,0
23,1,0,0,0,0,-1.0,1.0,0.0,3,4,1,1,1
34,1,2,0,0,0,0.0,1.0,25.0,2,1,0,1,0
23,0,1,0,0,0,-1.0,1.0,0.0,4,4,0,1,0
36,1,2,0,0,0,-1.0,1.0,2.0,3,1,0,1,1
50,1,1,0,0,0,-4.0,4.0,1.0,1,1,1,1,0
37,0,0,0,0,0,-1.0,1.0,0.0,3,1,0,1,0
44,1,4,0,0,0,0.0,0.0,1.0,4,4,0,1,0
35,0,23,0,1,0,-1.0,1.0,2.0,9,9,1,1,1
24,1,5,0,0,0,-1.0,1.0,0.0,5,4,1,0,1
26,1,2,0,0,0,-1.0,1.0,1.0,10,8,1,1,1
27,1,0,0,0,0,-1.0,1.0,2.0,2,3,0,1,0
28,0,0,0,0,0,0.0,1.0,29.0,8,6,1,1,0
43,1,11,0,0,0,49.0,56.0,121.0,5,3,1,0,1
28,0,7,0,0,0,-1.0,1.0,1.0,9,6,1,1,1
38,1,2,0,0,0,-1.0,1.0,1.0,1,1,1,1,0
27,1,2,0,0,0,-36.0,36.0,36.0,4,3,0,1,0
28,0,1,0,0,0,-1.0,1.0,38.0,9,7,1,0,0
56,1,7,0,0,0,-1.0,1.0,0.0,1,1,1,1,1
38,1,15,0,0,0,-1.0,1.0,1.0,9,3,1,1,0
28,1,2,0,0,0,-1.0,2147.0,0.0,5,4,0,1,0
45,1,3,0,0,0,104.0,23.0,218.0,6,4,1,0,0
61,1,1,0,0,0,-34.0,34.0,0.0,1,1,1,0,0
51,0,0,0,0,0,-1.0,1.0,0.0,1,1,0,1,1
51,1,0,0,0,0,-1.0,1.0,0.0,2,2,0,1,0
36,1,1,0,0,0,-1.0,1.0,1.0,1,1,0,1,1
48,1,0,0,0,0,-1.0,1.0,1.0,1,1,1,1,0
37,1,4,0,0,0,0.0,0.0,1.0,3,4,1,0,1
30,0,2,0,0,0,-1.0,1.0,2.0,7,4,1,1,0
41,0,5,0,0,0,0.0,1.0,0.0,6,3,0,1,0
27,1,11,0,0,0,-1.0,1.0,223.0,10,9,1,1,1
37,1,0,0,0,0,-1.0,1.0,1.0,1,1,0,1,0
33,1,4,0,0,0,0.0,1.0,2.0,4,2,1,1,1
54,1,11,0,0,0,-1.0,1.0,129.0,9,9,1,1,0
23,1,2,0,0,0,-1.0,1.0,71.0,9,5,1,1,0
26,0,2,0,0,0,-227.0,227.0,226.0,4,6,1,0,1
41,1,0,0,0,0,0.0,0.0,0.0,1,1,0,1,0
52,1,0,0,0,0,-1.0,1.0,0.0,1,1,1,1,0
43,1,13,0,0,0,0.0,1.0,51.0,4,1,1,1,1
52,1,0,0,0,0,-1.0,1.0,13.0,4,3,1,1,0
28,1,1,0,0,0,-3.0,3.0,3.0,1,2,1,0,0
30,1,11,0,0,2,-1.0,1.0,1.0,9,4,0,1,1
28,1,1,0,0,0,0.0,0.0,6.0,5,3,1,1,0
22,1,0,0,0,0,-1.0,1.0,0.0,4,6,1,1,0
30,1,4,0,0,0,0.0,0.0,-1.0,2,2,1,1,0
25,1,4,0,0,0,0.0,0.0,1.0,4,4,1,1,0
31,1,0,0,0,0,-1.0,1.0,30.0,8,5,1,1,1
37,1,0,0,0,0,-1.0,1.0,35.0,2,1,1,1,1
32,1,14,0,1,0,-1.0,1.0,1.0,9,8,1,1,0
26,1,4,0,1,0,649.0,1562.0,75.0,8,6,0,1,0
